Date,Open,High,Low,Close,Volume,Adj Close
2017-04-26,312.369995,314.50,309.00,310.170013,4544400,310.170013
2017-04-25,308.00,313.980011,305.859985,313.790009,6711900,313.790009
2017-04-24,309.220001,310.549988,306.019989,308.029999,5075200,308.029999
2017-04-21,302.00,306.399994,300.420013,305.600006,4487500,305.600006
2017-04-20,306.51001,309.149994,300.230011,302.51001,6132600,302.51001
2017-04-19,302.459991,306.619995,302.109985,305.519989,3867300,305.519989
2017-04-18,299.700012,300.839996,297.899994,300.25,3033800,300.25
2017-04-17,302.700012,304.00,298.679993,301.440002,4107600,301.440002
2017-04-13,296.700012,307.390015,295.299988,304.00,9246200,304.00
2017-04-12,306.339996,308.450012,296.320007,296.839996,6035100,296.839996
2017-04-11,313.380005,313.470001,305.50,308.709991,5716100,308.709991
2017-04-10,309.149994,313.730011,308.709991,312.390015,7619300,312.390015
2017-04-07,297.50,302.690002,297.149994,302.540009,4524200,302.540009
2017-04-06,296.880005,301.940002,294.100006,298.700012,5512600,298.700012
2017-04-05,302.040009,304.880005,294.200012,295.00,7839500,295.00
2017-04-04,296.890015,304.809998,294.529999,303.700012,10099400,303.700012
2017-04-03,286.899994,299.00,284.579987,298.519989,13842300,298.519989
2017-03-31,278.730011,279.679993,276.320007,278.299988,3288600,278.299988
2017-03-30,278.040009,282.00,277.209991,277.920013,4136700,277.920013
2017-03-29,278.339996,279.600006,275.540009,277.380005,3667800,277.380005
2017-03-28,277.019989,280.679993,275.00,277.450012,7966200,277.450012
2017-03-27,260.600006,270.570007,259.75,270.220001,6217800,270.220001
